0	77	86
0	62	66
0	61	65
0	77	99
0	62	66
0	77	99
0	99	95
0	63	66
0	77	86
0	63	19
0	77	3
0	62	65
0	36
0	6	86
0	77	16
0	61	65
0	77	28
0	61	65
0	6	86
0	28	84
0	18
0	61	64
0	61	64
0	61	64
0	6	16
0	61	64
0	61	64
0	61	65
0	61	64
0	6	98
0	61	64
0	28
0	61	64
0	18
0	63	66
0	61	64
0	6	73
0	61	64
0	62	65
0	61	64
0	62	65
0	61	64
0	77	74
0	61	64
0	61	64
0	62	65
0	61	64
0	6	86
0	61	64
0	61	85	39
0	61	85	39
0	76	60
0	76	60
0	61	85	31
0	61	85	36
0	27	92
0	60	74
0	27	35
0	43	22	36
0	6	3	26	20
0	60	99	94
0	60	98	93
0	60	51	88
0	60	51	11
0	60	98
0	75	90	64
0	6	3	26
0	6	3	26	21
0	6	3	18	13
0	6	3	26
0	6	3	26	20
0	6	3	26	20
0	6	3	26	20
0	6	3	18	13	10
0	6	3	26	20
0	6	3	26	20
0	6	3	18	13	10
0	6	3	26	19
0	6	3	18	13
0	6	3	26	19
0	6	3	26	19
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	17	12
0	6	3	18	13
0	6	3	18	13
0	6	3	18	13
0	6	3	17	12
0	6	3	17	12
0	6	3	17	12
0	6	3	17	12
0	6	3	17	12
0	6	3	17	12
0	6	3	17	12
0	6	3	17	12
0	6	3	17	12
0	6	3	17	12
0	6	3	17	12
0	6	3	16	11
0	6	3	17	12
0	6	3	17	12
0	6	3	16	11
0	6	3	17	12
0	6	3	17	12
0	6	3	16	11
0	6	3	16	11
0	6	3	17	12
0	6	3	16	11
0	7	3	14	11
0	6	3	16	11
0	6	3	17	12
0	6	3	5	16	12
0	6	3	16	11
0	6	3	16	11
0	6	3	16	11
0	6	3	16	11
0	6	3	5	17	12
0	6	3	16	11
0	6	3	16	11
0	6	3	16	11
0	6	3	12	9
0	6	3	16	11
0	6	3	11	9
0	6	3	17	12
0	6	3	11	9	18
0	6	3	16	11
0	6	3	17	12
0	6	3	12	9	18
0	6	3	12	9	18
0	6	3	11	9
0	6	3	16	11
0	6	3	12	9	18
0	6	3	18	14	10
0	6	3	17	12
0	6	3	16	11
0	6	3	11	9
0	6	3	12	9
0	7	4	17	12
0	6	3	16	11
0	6	3	17	12
0	6	3	16	12
0	6	3	17	12
0	6	3	17	12
0	6	3	12	9	18
0	6	3	16	11
0	6	3	16	11
0	6	3	5	17	12
0	6	3	16	11
0	6	3	15	11
0	6	3	5	16	11
0	6	3	16	11
0	6	3	16	11
0	6	3	17	12
0	6	3	17	12
0	6	3	16	11
0	6	3	16	11
0	6	3	16	11
0	6	3	15	11
0	6	3	17	12
0	6	3	14	10
0	6	3	12	9	18
0	6	3	16	11
0	6	3	16	11
0	6	3	16	11
0	6	3	16	11
0	6	3	16	11
0	6	3	17	12
0	6	3	16	12
0	6	3	16	12
0	6	3	5	16	12
0	6	3	5	16	11
0	6	3	16	11
0	6	3	16	11
0	6	3	16	11
