0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	23
0	76
0	76
0	0
0	22
0	75
0	76
0	74
0	74
0	76
0	74
0	22	0
0	74	0
0	74	0
0	25	77
0	0	60
0	24	58
0	73	41
0	24	0
0	24	0
0	73	41
0	73	34
0	21	0
0	21	0
0	21	0
0	72	33
0	21	0
0	0
0	21	0
0	21	0
0	21	0
0	71	32
0	19	0
0	20	0
0	19	0
0	18	0
0	71	33
0	19	0
0	19	0
0	19	0
0	19	0
0
0	69	32
0	19	0
0	19	0
0	19	0
0	18	0
0	18
0	18	0
0	18	0
0	17	33
0	17	0
0	68	31
0	67	30
0	66	37
0	64	30
0	67	32
0	65	31
0	66	31
0	64	28
0	17	0
0	18	0
0	49	62
0	44	37
0	17	0
0	0
0	44	38
0	19	0
0	18	0
0	18	0
0	19	0
0	22	0
0	21	0
0	21	0
0	22	0
0	26	0
0	24	0
0	23	0
0	63	28
0	22	0
0	66	30
0	73	32
0	20	0
0	66	31
0	67	31
0	67	31
0	66	30
0	20	0
0	65	30
0	20	0
0	20	0
0	66	30
0	20	0
0	66	19
0	20	0
0	20	0
0	19	0
0	20	0
0	64	34
0	19
0	62	32
0	63	32
0	62	32
0	63	32
0	61	30
0	61	30
0	61	30
0	62	32	18
0	60	31	17
0	60	32	30	0
0	60	30	30	0
0	61	33	75	0
0	0	61	44	99
0	17	100	57	69
0	50	92	51	0
0	61	38	0	98
0	0	45	100	61
0	0	83	46	68
0	0	62	42	99
0	62	33	33	0
0	23	37	92	59
0	14	95	86	53
0	73	38	95	0
0	62	99	56
0	0	100	52	77
0	72	0	100	57	28
0	18	97	58
0	0	78	100	58	25
0	93	57	52	0
0	73	93	55	77	25
0	0	92	54	61
0	0	100	48	75
0	72	92	48	71	20
0	62	31	92	49
0	0	100	46
0	61	31	97	61
0	17	86	52
0	99	0	49	76
0	73	100	57	78
0	62	31
0	78	49	45
0	0	100	49	76
0	21	77	36	50
