0	22
0	24
0	23
0	23
0	21
0	23
0	25
0	23
0	23
0	23
0	23
0	23
0	23
0	23
0	22
0	24
0	22
0	22
0	22
0	76
0	23
0	74
0	20	0
0	23	0
0	74	38
0	74	0
0	74	40
0	74	40
0	73	40
0	24	58
0	24	0
0	24	0
0	24	0
0	73	41
0	73	34
0	73	34
0	72	34
0	72	35
0	72	34
0	72	34
0	75
0	72	33
0	71	33
0	72	33
0	73	34
0	73	32
0	72	33
0	72	32
0	18	0
0
0
0	71	33
0	72	34
0	19	0
0
0	69	32
0	19	0
0	19	0
0	19	0
0	18	0
0	18
0	18	0
0	18	0
0	17	33
0	68	32
0	0	47
0	0	47
0	66	37
0	65	34
0	67	32
0	0	50
0	66	31
0	64	28
0	0	47
0	64	30
0	64	30
0	64	29
0	64	29
0	0
0	65	30
0	65	30
0	65	28
0	66	27
0	65	26
0	22	0
0	64	26
0	65	26
0	66	31
0	26	0
0	66	28
0	66	28
0	22	0
0	65	28
0	65	28
0	73	32
0	64	10
0	64	31
0	64	31
0	64	31
0	63	31
0	20	0
0	20	0
0	20	0
0	20	0
0	20	0
0	20	0
0	18	2
0	20	0
0	20	0
0	19	0
0	20	0
0	20	0
0	19
0	60	30
0	19	0
0	19	0
0	19	0
0	19	61
0	19	46
0	20	46
0	19	59	30
0	17	59	30
0	16	58	30
0	17	81	51	45
0	17	54	27
0	17	81	45
0	17	100	94	57
0	14	0	47	22
0	15	77	44	20
0	15	79	44	50
0	14	59	29
0	17	43	0
0	12	95	54
0	23	37	85
0	14	81	49	43
0	14	69	44
0	23	0	37
0	17	100	66	32
0	20	97	60	28
0	18	97	58
0	20	95	37	69
0	14	66	47	21
0	16	100	62	52	0
0	8	67	44	92
0	66	12	36
0	66	18	0	34
0	18	98	0	63	30
0	11	93	50	25
0	21	81	53
0	17	86	52
0	14	66	41
0	15	71	46
0	62	87	51	30
0	21	65	32
0	17	98	58	79
0	60	93	55	72
0	13	71	77	38
0	62	31
0	16	65	42
0	60	85	51	29
0	58	0	29	50
0	12	88	56	27	57
0	13	61
0	17	99	82	0
0	13	100	52	0
0	63	31	48
0	17	99	64
0	65	32
0	11	100	61
0	17	73	87
0	14	100	64
0	15	66	53	43	23
0	62	31
0	13	67	41
0	61	31	0
0	64	31	38
0	17	92	56
0
0	63	54	33	0
0	59	50	0
0	59	53	0
0	62	58	0	31
0	12	83	47
0	14	100	59	47
0	16	74	46
0	10	95	51	48
0	62	96	62	2
0	59	29	0	69	36
0	58	5	31
0	14	61	49
0
0	66	0	56	29
0	13	96
0	58	94	9	53
0	59	50	0	26
0	13	100	62	28
0	16	66	47	0	42
0	61	92	57	4
0	58	96	95	27
0	16	100	66	29
0	8	76	91	50
0	57	0	100	63
0	56	82
0	58	29	100
0	13	88	51
0	13	76	45
0	59	8
0	61	77	30
0	12	100	59	0
0	57	79	27	44
0	62	93	29
0	62	30	0
0	13	81
0	54	0	44
0	61	64	0	36	32
0	18	98	60	27
0	8	100	55	47
0	9	79
0	56	96	2	57
0	12	79	46
0	15	100
0	58	95	0
0	64	31
0	64	32	72	48
0	12	78	0
0
0	10	100	0	55
0
0	59	0	48
0	16	100	65	28
0	58	28
0	8	91	49
0	59	47	31	0
0	12	65	39
0
0	17	100
0	57	91	28	97
0	59	29
0	57	85
0	18	39	19
0	11	65
0	8	0
0
0	16	100	50
0
0	11	96	52
0	56	28
0	52	26	43	0
0	56	83	27
0	54	0
0	53	49	26
0	58	57	28	0
0	58	29
0	52	0	83
0
0	54	26
0
0
0
0	11	94	63
0	53	0	82
0
0
0	10	79	50	95
0	51	0	81	27
0	54	86	3
0	51	48
0
0
0	72	40	0	19	83
0	51	25
0	55	79	0	90	42
0	55	0	84	50
0	63	0	35	37
0	70	39	35	0
0
0
0
0	60	59	0	31	28
0	53	26
0	51	0	83	48
0
0
0
0
0
0	52	0	84	49
0
0	54	0	88	93
0	54	84	50	1
0	55	0	88	51
0	58	43	30	0
0	15	100	64
0
0	51	0	52	98
0	53	87
0
0
0	51	0	83
0
0	51	0	81	28
0	51	0	28
0	50	0	81	47
0
0	52	44	19
0	54	0	55	28
0
0	51	51	0	22
0	51	71	46	1
0
0	53	0	83	31
0	51	48	0	92	97
0
0
0	52	0	86	28
0	54	0	85	51
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0	55	0
0
0
0
0
0
0
0
0
0
0
