evap,temp,albedo,precipitation,pressure,u800,u200,v200,v800
80.818375,-33.93437,80.818375,-33.93437,80.818375,-33.93437,-33.93437,-33.93437,-33.93437
62.000153,-36.503807,62.000153,-36.503807,62.000153,-36.503807,-36.503807,-36.503807,-36.503807
145.40593,-35.09297,145.40593,-35.09297,145.40593,-35.09297,-35.09297,-35.09297,-35.09297
83.17028,-33.76796,83.17028,-33.76796,83.17028,-33.76796,-33.76796,-33.76796,-33.76796
127.301926,-34.02557,127.301926,-34.02557,127.301926,-34.02557,-34.02557,-34.02557,-34.02557
120.71174,-32.75187,120.71174,-32.75187,120.71174,-32.75187,-32.75187,-32.75187,-32.75187
102.01822,-35.431026,102.01822,-35.431026,102.01822,-35.431026,-35.431026,-35.431026,-35.431026
70.75716,-34.2665,70.75716,-34.2665,70.75716,-34.2665,-34.2665,-34.2665,-34.2665
82.62341,-34.82418,82.62341,-34.82418,82.62341,-34.82418,-34.82418,-34.82418,-34.82418
70.77539,-35.167164,70.77539,-35.167164,70.77539,-35.167164,-35.167164,-35.167164,-35.167164
98.10006,-33.703075,98.10006,-33.703075,98.10006,-33.703075,-33.703075,-33.703075,-33.703075
119.40709,-36.694244,119.40709,-36.694244,119.40709,-36.694244,-36.694244,-36.694244,-36.694244
72.36249,-33.9138,72.36249,-33.9138,72.36249,-33.9138,-33.9138,-33.9138,-33.9138
80.67089,-36.50738,80.67089,-36.50738,80.67089,-36.50738,-36.50738,-36.50738,-36.50738
90.86431,-35.105053,90.86431,-35.105053,90.86431,-35.105053,-35.105053,-35.105053,-35.105053
109.9796,-35.266197,109.9796,-35.266197,109.9796,-35.266197,-35.266197,-35.266197,-35.266197
68.26897,-35.92824,68.26897,-35.92824,68.26897,-35.92824,-35.92824,-35.92824,-35.92824
88.43578,-33.336845,88.43578,-33.336845,88.43578,-33.336845,-33.336845,-33.336845,-33.336845
91.64917,-36.136913,91.64917,-36.136913,91.64917,-36.136913,-36.136913,-36.136913,-36.136913
95.41148,-35.304962,95.41148,-35.304962,95.41148,-35.304962,-35.304962,-35.304962,-35.304962
71.89321,-34.96251,71.89321,-34.96251,71.89321,-34.96251,-34.96251,-34.96251,-34.96251
69.28661,-34.9012,69.28661,-34.9012,69.28661,-34.9012,-34.9012,-34.9012,-34.9012
113.665016,-36.043007,113.665016,-36.043007,113.665016,-36.043007,-36.043007,-36.043007,-36.043007
78.8797,-35.636066,78.8797,-35.636066,78.8797,-35.636066,-35.636066,-35.636066,-35.636066
61.81146,-36.937534,61.81146,-36.937534,61.81146,-36.937534,-36.937534,-36.937534,-36.937534
111.61253,-36.84909,111.61253,-36.84909,111.61253,-36.84909,-36.84909,-36.84909,-36.84909
104.793304,-33.19737,104.793304,-33.19737,104.793304,-33.19737,-33.19737,-33.19737,-33.19737
86.19151,-34.005993,86.19151,-34.005993,86.19151,-34.005993,-34.005993,-34.005993,-34.005993
83.59083,-34.5172,83.59083,-34.5172,83.59083,-34.5172,-34.5172,-34.5172,-34.5172
97.24983,-36.64413,97.24983,-36.64413,97.24983,-36.64413,-36.64413,-36.64413,-36.64413
105.89246,-35.937443,105.89246,-35.937443,105.89246,-35.937443,-35.937443,-35.937443,-35.937443
68.33737,-36.113968,68.33737,-36.113968,68.33737,-36.113968,-36.113968,-36.113968,-36.113968
73.65834,-35.928005,73.65834,-35.928005,73.65834,-35.928005,-35.928005,-35.928005,-35.928005
90.940384,-35.344803,90.940384,-35.344803,90.940384,-35.344803,-35.344803,-35.344803,-35.344803
72.59198,-34.04657,72.59198,-34.04657,72.59198,-34.04657,-34.04657,-34.04657,-34.04657
66.0457,-35.822002,66.0457,-35.822002,66.0457,-35.822002,-35.822002,-35.822002,-35.822002
66.28157,-37.092323,66.28157,-37.092323,66.28157,-37.092323,-37.092323,-37.092323,-37.092323
63.81654,-36.73321,63.81654,-36.73321,63.81654,-36.73321,-36.73321,-36.73321,-36.73321
109.593,-34.348103,109.593,-34.348103,109.593,-34.348103,-34.348103,-34.348103,-34.348103
112.68695,-35.192497,112.68695,-35.192497,112.68695,-35.192497,-35.192497,-35.192497,-35.192497
82.35114,-35.221504,82.35114,-35.221504,82.35114,-35.221504,-35.221504,-35.221504,-35.221504
83.8809,-33.98021,83.8809,-33.98021,83.8809,-33.98021,-33.98021,-33.98021,-33.98021
69.77993,-37.1056,69.77993,-37.1056,69.77993,-37.1056,-37.1056,-37.1056,-37.1056
56.678276,-37.584667,56.678276,-37.584667,56.678276,-37.584667,-37.584667,-37.584667,-37.584667
62.765415,-34.308064,62.765415,-34.308064,62.765415,-34.308064,-34.308064,-34.308064,-34.308064
66.11472,-34.677338,66.11472,-34.677338,66.11472,-34.677338,-34.677338,-34.677338,-34.677338
48.31705,-37.692272,48.31705,-37.692272,48.31705,-37.692272,-37.692272,-37.692272,-37.692272
41.81103,-37.947155,41.81103,-37.947155,41.81103,-37.947155,-37.947155,-37.947155,-37.947155
81.19218,-35.589687,81.19218,-35.589687,81.19218,-35.589687,-35.589687,-35.589687,-35.589687
69.92538,-37.478535,69.92538,-37.478535,69.92538,-37.478535,-37.478535,-37.478535,-37.478535
64.5477,-35.80194,64.5477,-35.80194,64.5477,-35.80194,-35.80194,-35.80194,-35.80194
49.193623,-37.040043,49.193623,-37.040043,49.193623,-37.040043,-37.040043,-37.040043,-37.040043
98.88888,-36.022415,98.88888,-36.022415,98.88888,-36.022415,-36.022415,-36.022415,-36.022415
79.19899,-38.3333,79.19899,-38.3333,79.19899,-38.3333,-38.3333,-38.3333,-38.3333
73.350426,-36.474266,73.350426,-36.474266,73.350426,-36.474266,-36.474266,-36.474266,-36.474266
62.68432,-35.498737,62.68432,-35.498737,62.68432,-35.498737,-35.498737,-35.498737,-35.498737
63.345757,-36.032288,63.345757,-36.032288,63.345757,-36.032288,-36.032288,-36.032288,-36.032288
61.967777,-32.924408,61.967777,-32.924408,61.967777,-32.924408,-32.924408,-32.924408,-32.924408
97.010475,-35.012077,97.010475,-35.012077,97.010475,-35.012077,-35.012077,-35.012077,-35.012077
103.181725,-36.42942,103.181725,-36.42942,103.181725,-36.42942,-36.42942,-36.42942,-36.42942
42.32194,-37.76327,42.32194,-37.76327,42.32194,-37.76327,-37.76327,-37.76327,-37.76327
55.841686,-36.210403,55.841686,-36.210403,55.841686,-36.210403,-36.210403,-36.210403,-36.210403
89.73279,-35.442745,89.73279,-35.442745,89.73279,-35.442745,-35.442745,-35.442745,-35.442745
128.45142,-35.019222,128.45142,-35.019222,128.45142,-35.019222,-35.019222,-35.019222,-35.019222
84.598045,-35.082127,84.598045,-35.082127,84.598045,-35.082127,-35.082127,-35.082127,-35.082127
107.384926,-35.769817,107.384926,-35.769817,107.384926,-35.769817,-35.769817,-35.769817,-35.769817
68.27365,-37.546562,68.27365,-37.546562,68.27365,-37.546562,-37.546562,-37.546562,-37.546562
101.64786,-34.07496,101.64786,-34.07496,101.64786,-34.07496,-34.07496,-34.07496,-34.07496
73.73512,-34.929405,73.73512,-34.929405,73.73512,-34.929405,-34.929405,-34.929405,-34.929405
89.15076,-36.376385,89.15076,-36.376385,89.15076,-36.376385,-36.376385,-36.376385,-36.376385
58.927418,-34.871487,58.927418,-34.871487,58.927418,-34.871487,-34.871487,-34.871487,-34.871487
87.50418,-34.830112,87.50418,-34.830112,87.50418,-34.830112,-34.830112,-34.830112,-34.830112
86.004585,-34.95197,86.004585,-34.95197,86.004585,-34.95197,-34.95197,-34.95197,-34.95197
72.1909,-35.632298,72.1909,-35.632298,72.1909,-35.632298,-35.632298,-35.632298,-35.632298
100.68583,-33.482277,100.68583,-33.482277,100.68583,-33.482277,-33.482277,-33.482277,-33.482277
96.55552,-35.001812,96.55552,-35.001812,96.55552,-35.001812,-35.001812,-35.001812,-35.001812
114.5682,-34.774525,114.5682,-34.774525,114.5682,-34.774525,-34.774525,-34.774525,-34.774525
94.45824,-35.03425,94.45824,-35.03425,94.45824,-35.03425,-35.03425,-35.03425,-35.03425
137.04022,-34.95098,137.04022,-34.95098,137.04022,-34.95098,-34.95098,-34.95098,-34.95098
94.599335,-34.818756,94.599335,-34.818756,94.599335,-34.818756,-34.818756,-34.818756,-34.818756
71.35177,-35.609787,71.35177,-35.609787,71.35177,-35.609787,-35.609787,-35.609787,-35.609787
123.26245,-34.604065,123.26245,-34.604065,123.26245,-34.604065,-34.604065,-34.604065,-34.604065
163.32501,-32.996685,163.32501,-32.996685,163.32501,-32.996685,-32.996685,-32.996685,-32.996685
114.72559,-33.813786,114.72559,-33.813786,114.72559,-33.813786,-33.813786,-33.813786,-33.813786
85.87565,-34.28719,85.87565,-34.28719,85.87565,-34.28719,-34.28719,-34.28719,-34.28719
74.78199,-35.247505,74.78199,-35.247505,74.78199,-35.247505,-35.247505,-35.247505,-35.247505
71.14342,-35.792233,71.14342,-35.792233,71.14342,-35.792233,-35.792233,-35.792233,-35.792233
